0,0.0,0.0,0.0
10,0.703016666666667,7.03016666666667,0.0
20,0.6645499999999999,13.290999999999997,0.0
30,0.6502611111111114,19.50783333333334,0.0
40,0.6805166666666667,27.220666666666666,0.0
50,0.6555633333333333,32.778166666666664,0.88
60,0.6583694444444445,39.50216666666667,5.700000000000001
70,0.6616714285714287,46.31700000000001,12.885714285714284
80,0.6684895833333332,53.47916666666666,21.5875
90,0.6757166666666666,60.814499999999995,28.655555555555562
100,0.6598433333333333,65.98433333333334,33.4
110,0.6774424242424243,74.51866666666668,39.36363636363635
120,0.6708416666666668,80.50100000000002,43.29999999999999
130,0.6703641025641025,87.14733333333332,47.38461538461537
140,0.6662404761904763,93.27366666666668,50.78571428571428
150,0.6766766666666669,101.50150000000004,53.80666666666666
160,0.6716739583333333,107.46783333333333,55.53125
170,0.6624333333333335,112.6136666666667,58.811764705882354
180,0.6733870370370373,121.2096666666667,60.911111111111126
190,0.6736271929824561,127.98916666666666,62.42631578947369
200,0.6670708333333333,133.41416666666666,64.12
210,0.6692690476190479,140.54650000000007,65.87619047619047
220,0.6598931818181818,145.1765,67.1409090909091
230,0.6698181159420286,154.05816666666658,68.91304347826086
240,0.660608333333333,158.54599999999994,69.47083333333332
250,0.6735339999999996,168.3834999999999,70.948
260,0.6692724358974358,174.0108333333333,72.21153846153845
270,0.6728277777777778,181.6635,73.30370370370369
280,0.6644119047619053,186.03533333333348,74.11785714285713
290,0.6775040229885059,196.4761666666667,75.07241379310342
300,0.6645255555555555,199.35766666666663,75.55333333333331
310,0.6643747311827959,205.95616666666672,76.35483870967738
320,0.6661614583333331,213.17166666666657,76.98125
330,0.6665530303030303,219.96249999999998,77.91818181818182
340,0.6670303921568626,226.79033333333328,78.57647058823528
350,0.6694909523809526,234.3218333333334,78.99142857142856
360,0.6646694444444446,239.28100000000006,79.6111111111111
370,0.6666783783783784,246.67100000000002,80.02702702702703
380,0.6677644736842105,253.75050000000002,80.91578947368419
390,0.6745299145299148,263.0666666666668,81.51025641025643
